ProductKey,ProductSubcategoryKey,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductSize,ProductStyle,ProductCost,Orderline Code,ProductPrice
101,9,SKU_101,Message Book,MBWF51X4F2DS-101,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Red,0,0,13.0863,101_OLC,34.99
102,14,SKU_102,Avery 508,A5-102,Avery 508,Black,0,0,12.0278,102_OLC,33.6442
103,3,SKU_103,SAFCO Boltless Steel Shelving,SBSS-103,SAFCO Boltless Steel Shelving,White,M,U,3.3963,103_OLC,9.5
104,5,SKU_104,GBC Standard Plastic Binding Systems Combs,GSPBSC-104,GBC Standard Plastic Binding Systems Combs,White,L,U,3.3963,104_OLC,9.5
105,7,SKU_105,Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters,AHEPSFH4-105,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Blue,0,0,12.0278,105_OLC,33.6442
106,9,SKU_106,Xerox 225,X2-106,Xerox 225,Multi,0,U,5.7052,106_OLC,8.6442
107,7,SKU_107,Dixon Prang Watercolor Pencils,DPWP1SWB-107,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Multi,S,U,31.7244,107_OLC,48.0673
108,11,SKU_108,Global Deluxe High-Back Manager's Chair,GDHMC-108,Global Deluxe High-Back Manager,Multi,M,U,31.7244,108_OLC,48.0673
109,5,SKU_109,Ibico Hi-Tech Manual Binding System,IHMBS-109,Ibico Hi-Tech Manual Binding System,Multi,L,U,31.7244,109_OLC,48.0673
110,7,SKU_110,Rogers Handheld Barrel Pencil Sharpener,RHBPS-110,Rogers Handheld Barrel Pencil Sharpener,Multi,XL,U,31.7244,110_OLC,48.0673
111,2,SKU_111,GE 30524EE4,G3-111,GE 30524EE4,Red,62,U,747.9682,111_OLC,1263.4598
112,2,SKU_112,Wireless Extenders zBoost YX545 SOHO Signal Booster,WEZYSSB-112,Wireless Extenders zBoost YX545 SOHO Signal Booster,Red,44,U,747.9682,112_OLC,1263.4598
113,12,SKU_113,Alliance Super-Size Bands,ASBAS-113,"Alliance Super-Size Bands, Assorted Sizes",Red,48,U,747.9682,113_OLC,1263.4598
114,9,SKU_114,Southworth 25% Cotton Granite Paper & Envelopes,S2CGP&E-114,Southworth 25% Cotton Granite Paper & Envelopes,Red,52,U,747.9682,114_OLC,1263.4598
115,8,SKU_115,Howard Miller 14-1/2" Diameter Chrome Round Wall Clock,HM1DCRWC-115,Howard Miller 14-1/2" Diameter Chrome Round Wall Clock,Red,56,U,747.9682,115_OLC,1263.4598
116,5,SKU_116,Acco Four Pocket Poly Ring Binder with Label Holder,AFPPRBWLHS1-116,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Black,58,U,176.1997,116_OLC,297.6346
117,7,SKU_117,Newell 312,N3-117,Newell 312,Black,60,U,176.1997,117_OLC,297.6346
118,17,SKU_118,Memorex Micro Travel Drive 8 GB,MMTD8G-118,Memorex Micro Travel Drive 8 GB,Black,62,U,176.1997,118_OLC,297.6346
119,14,SKU_119,Avery 482,A4-119,Avery 482,Red,44,U,181.4857,119_OLC,306.5636
120,8,SKU_120,Howard Miller 11-1/2" Diameter Ridgewood Wall Clock,HM1DRWC-120,Howard Miller 11-1/2" Diameter Ridgewood Wall Clock,Red,48,U,181.4857,120_OLC,306.5636
121,8,SKU_121,DAX Value U-Channel Document Frames,DVUDFEB-121,"DAX Value U-Channel Document Frames, Easel Back",Red,52,U,181.4857,121_OLC,306.5636
122,10,SKU_122,Staple envelope,SE-122,Staple envelope,Red,58,U,181.4857,122_OLC,306.5636
123,10,SKU_123,Brown Kraft Recycled Envelopes,BKRE-123,Brown Kraft Recycled Envelopes,Red,60,U,181.4857,123_OLC,306.5636
124,17,SKU_124,Plantronics S12 Corded Telephone Headset System,PSCTHS-124,Plantronics S12 Corded Telephone Headset System,Red,62,U,181.4857,124_OLC,306.5636
125,5,SKU_125,3-ring staple pack,3SP-125,3-ring staple pack,Red,44,U,352.1394,125_OLC,594.83
126,3,SKU_126,Fellowes Stor/Drawer Steel Plus Storage Drawers,FSSPSD-126,Fellowes Stor/Drawer Steel Plus Storage Drawers,Red,48,U,352.1394,126_OLC,594.83
127,11,SKU_127,Global Highback Leather Tilter in Burgundy,GHLTIB-127,Global Highback Leather Tilter in Burgundy,Red,52,U,352.1394,127_OLC,594.83
128,3,SKU_128,Tennsco 6- and 18-Compartment Lockers,T6A1L-128,Tennsco 6- and 18-Compartment Lockers,Red,58,U,352.1394,128_OLC,594.83
129,1,SKU_129,O'Sullivan Elevations Bookcase,OEBCF-129,O,Red,60,U,352.1394,129_OLC,594.83
130,7,SKU_130,4009 Highlighters by Sanford,4HBS-130,4009 Highlighters by Sanford,Black,44,U,176.1997,130_OLC,297.6346
131,9,SKU_131,Xerox 1923,X1-131,Xerox 1923,Black,48,U,176.1997,131_OLC,297.6346
132,5,SKU_132,Avery Metallic Poly Binders,AMPB-132,Avery Metallic Poly Binders,Black,52,U,176.1997,132_OLC,297.6346
133,1,SKU_133,Sauder Cornerstone Collection Library,SCCL-133,Sauder Cornerstone Collection Library,Silver,42,U,623.8403,133_OLC,1204.3248
134,17,SKU_134,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,L9MWMFWS-134,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Silver,44,U,706.811,134_OLC,1364.5
135,8,SKU_135,DAX Black Cherry Wood-Tone Poster Frame,DBCWPF-135,DAX Black Cherry Wood-Tone Poster Frame,Silver,48,U,706.811,135_OLC,1364.5
136,2,SKU_136,AT&T 841000 Phone,A8P-136,AT&T 841000 Phone,Silver,46,U,623.8403,136_OLC,1204.3248
137,5,SKU_137,GBC Linen Binding Covers,GLBC-137,GBC Linen Binding Covers,Black,42,U,617.0281,137_OLC,1191.1739
138,14,SKU_138,Round Specialty Laser Printer Labels,RSLPL-138,Round Specialty Laser Printer Labels,Black,44,U,699.0928,138_OLC,1349.6
139,13,SKU_139,Fellowes Mighty 8 Compact Surge Protector,FM8CSP-139,Fellowes Mighty 8 Compact Surge Protector,Black,48,U,699.0928,139_OLC,1349.6
140,5,SKU_140,GBC Standard Recycled Report Covers,GSRRCCPS-140,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Black,46,U,617.0281,140_OLC,1191.1739
141,9,SKU_141,TOPS Carbonless Receipt Book,TCRBF2X7MRPP-141,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Black,38,U,617.0281,141_OLC,1191.1739
142,10,SKU_142,Tyvek  Top-Opening Peel & Seel Envelopes,TTP&SEPW-142,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Silver,38,U,623.8403,142_OLC,1204.3248
143,1,SKU_143,O'Sullivan 4-Shelf Bookcase in Odessa Pine,O4BIOP-143,O,Red,62,U,2171.2942,143_OLC,3578.27
144,2,SKU_144,Apple iPhone 5C,AI5-144,Apple iPhone 5C,Red,44,U,2171.2942,144_OLC,3578.27
145,7,SKU_145,Newell 351,N3-145,Newell 351,Red,48,U,2171.2942,145_OLC,3578.27
146,8,SKU_146,Eldon Expressions Desk Accessory,EEDAWPHO-146,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Red,52,U,2171.2942,146_OLC,3578.27
147,7,SKU_147,Newell 327,N3-147,Newell 327,Red,56,U,2171.2942,147_OLC,3578.27
148,11,SKU_148,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,H4SMMTCWAA-148,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Red,58,U,884.7083,148_OLC,1457.99
149,9,SKU_149,Wirebound Service Call Books,WSCB51X4-149,"Wirebound Service Call Books, 5 1/2"" x 4""",Red,60,U,884.7083,149_OLC,1457.99
150,3,SKU_150,Eldon Fold 'N Roll Cart System,EF'RCS-150,Eldon Fold ,Red,44,U,884.7083,150_OLC,1457.99
151,8,SKU_151,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,ECCMWCAP-151,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Red,48,U,884.7083,151_OLC,1457.99
152,5,SKU_152,Acco Pressboard Covers with Storage Hooks,APCWSH91X1ER-152,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Red,52,U,884.7083,152_OLC,1457.99
153,13,SKU_153,Holmes Replacement Filter for HEPA Air Cleaner,HRFFHACVLRHF-153,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Red,58,U,413.1463,153_OLC,699.0982
154,3,SKU_154,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,FBATFSS-154,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Red,60,U,413.1463,154_OLC,699.0982
155,7,SKU_155,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,PKBPS-155,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Red,62,U,413.1463,155_OLC,699.0982
156,8,SKU_156,Ultra Door Push Plate,UDPP-156,Ultra Door Push Plate,Red,44,U,413.1463,156_OLC,699.0982
157,5,SKU_157,Storex Dura Pro Binders,SDPB-157,Storex Dura Pro Binders,Red,48,U,413.1463,157_OLC,699.0982
158,5,SKU_158,GBC DocuBind TL200 Manual Binding Machine,GDTMBM-158,GBC DocuBind TL200 Manual Binding Machine,Red,52,U,413.1463,158_OLC,699.0982
159,8,SKU_159,Ultra Door Pull Handle,UDPH-159,Ultra Door Pull Handle,Black,58,U,413.1463,159_OLC,699.0982
160,9,SKU_160,Xerox 195,X1-160,Xerox 195,Black,60,U,413.1463,160_OLC,699.0982
161,12,SKU_161,Alliance Big Bands Rubber Bands,ABBRB1-161,"Alliance Big Bands Rubber Bands, 12/Pack",Black,62,U,413.1463,161_OLC,699.0982
162,8,SKU_162,GE General Use Halogen Bulbs,GGUHB1W1BPP-162,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Black,44,U,413.1463,162_OLC,699.0982
163,3,SKU_163,SAFCO Commercial Wire Shelving,SCWS7-163,"SAFCO Commercial Wire Shelving, 72h",Black,48,U,413.1463,163_OLC,699.0982
164,9,SKU_164,Eureka Recycled Copy Paper 8 1/2" x 11",ERCP81X1R-164,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Black,52,U,413.1463,164_OLC,699.0982
165,9,SKU_165,REDIFORM Incoming/Outgoing Call Register,RICR1X811M-165,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Silver,38,U,1912.1544,165_OLC,3399.99
166,2,SKU_166,Macally Suction Cup Mount,MSCM-166,Macally Suction Cup Mount,Silver,42,U,1912.1544,166_OLC,3399.99
167,8,SKU_167,Eldon Image Series Black Desk Accessories,EISBDA-167,Eldon Image Series Black Desk Accessories,Silver,44,U,1912.1544,167_OLC,3399.99
168,2,SKU_168,Jabra SPEAK 410,JS4-168,Jabra SPEAK 410,Silver,48,U,1912.1544,168_OLC,3399.99
169,5,SKU_169,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,WJ1LACPDB-169,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Black,38,U,1898.0944,169_OLC,3374.99
170,1,SKU_170,Safco Value Mate Series Steel Bookcases,SVMSSBBEFOSG-170,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Black,42,U,1898.0944,170_OLC,3374.99
171,3,SKU_171,Recycled Steel Personal File for Hanging File Folders,RSPFFHFF-171,Recycled Steel Personal File for Hanging File Folders,Black,44,U,1898.0944,171_OLC,3374.99
172,4,SKU_172,Balt Split Level Computer Training Table,BSLCTT-172,Balt Split Level Computer Training Table,Black,48,U,1898.0944,172_OLC,3374.99
173,7,SKU_173,Dixon Ticonderoga Core-Lock Colored Pencils,DTCCP-173,Dixon Ticonderoga Core-Lock Colored Pencils,Silver,38,U,1117.8559,173_OLC,2071.4196
174,5,SKU_174,Pressboard Covers with Storage Hooks,PCWSH91X1LB-174,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Silver,42,U,1117.8559,174_OLC,2071.4196
175,9,SKU_175,Xerox 1972,X1-175,Xerox 1972,Silver,46,U,1117.8559,175_OLC,2071.4196
176,3,SKU_176,Space Solutions HD Industrial Steel Shelving.,SSHISS-176,Space Solutions HD Industrial Steel Shelving.,Black,38,U,1105.81,176_OLC,2049.0982
177,1,SKU_177,Sauder Facets Collection Library,SFCLSAF-177,"Sauder Facets Collection Library, Sky Alder Finish",Black,42,U,1105.81,177_OLC,2049.0982
178,17,SKU_178,Enermax Aurora Lite Keyboard,EALK-178,Enermax Aurora Lite Keyboard,Black,46,U,1105.81,178_OLC,2049.0982
179,12,SKU_179,Staples,MODEL-179,Staples,Black,38,U,598.4354,179_OLC,1079.99
180,5,SKU_180,Surelock Post Binders,SPB-180,Surelock Post Binders,Black,40,U,598.4354,180_OLC,1079.99
181,2,SKU_181,AT&T 17929 Lendline Telephone,A1LT-181,AT&T 17929 Lendline Telephone,Black,44,U,598.4354,181_OLC,1079.99
182,5,SKU_182,Ibico Laser Imprintable Binding System Covers,ILIBSC-182,Ibico Laser Imprintable Binding System Covers,Black,48,U,598.4354,182_OLC,1079.99
183,5,SKU_183,Avery Durable Poly Binders,ADPB-183,Avery Durable Poly Binders,Red,44,U,1518.7864,183_OLC,2443.35
184,5,SKU_184,GBC Recycled Grain Textured Covers,GRGTC-184,GBC Recycled Grain Textured Covers,Red,48,U,1518.7864,184_OLC,2443.35
185,9,SKU_185,Message Book,MBSL"YWO51X42S-185,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",Red,52,U,1518.7864,185_OLC,2443.35
186,14,SKU_186,Avery 480,A4-186,Avery 480,Red,58,U,1320.6838,186_OLC,2181.5625
187,2,SKU_187,Aastra 57i VoIP phone,A5VP-187,Aastra 57i VoIP phone,Black,44,U,1320.6838,187_OLC,2181.5625
188,2,SKU_188,AT&T CL82213,AC-188,AT&T CL82213,Black,48,U,1320.6838,188_OLC,2181.5625
189,5,SKU_189,Avery Flip-Chart Easel Binder,AFEBB-189,"Avery Flip-Chart Easel Binder, Black",Black,52,U,1320.6838,189_OLC,2181.5625
190,17,SKU_190,Maxell DVD-RAM Discs,MDD-190,Maxell DVD-RAM Discs,Black,58,U,1320.6838,190_OLC,2181.5625
191,3,SKU_191,Acco Perma 4000 Stacking Storage Drawers,AP4SSD-191,Acco Perma 4000 Stacking Storage Drawers,Yellow,38,W,605.6492,191_OLC,1000.4375
192,8,SKU_192,Master Caster Door Stop,MCDSLB-192,"Master Caster Door Stop, Large Brown",Yellow,40,W,605.6492,192_OLC,1000.4375
193,4,SKU_193,Hon 2111 Invitation Series Corner Table,H2ISCT-193,Hon 2111 Invitation Series Corner Table,Yellow,42,W,605.6492,193_OLC,1000.4375
194,5,SKU_194,Wilson Jones Leather-Like Binders with DublLock Round Rings,WJLBWDRR-194,Wilson Jones Leather-Like Binders with DublLock Round Rings,Yellow,44,W,605.6492,194_OLC,1000.4375
195,11,SKU_195,Global Value Mid-Back Manager's Chair,GVMMCG-195,Global Value Mid-Back Manager,Yellow,48,W,605.6492,195_OLC,1000.4375
196,14,SKU_196,Avery 483,A4-196,Avery 483,Multi,0,0,65.8097,196_OLC,148.22
197,5,SKU_197,Wilson Jones Turn Tabs Binder Tool for Ring Binders,WJTTBTFRB-197,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Multi,0,0,77.9176,197_OLC,175.49
