OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity,State
1/3/2021,12/24/2019,SO101,101,1200,4,1,2,Texas
1/4/2021,12/25/2019,SO102,102,1201,3,1,3,Illinois
1/4/2021,12/25/2019,SO103,103,1201,3,1,3,Illinois
1/4/2021,12/25/2019,SO104,104,1201,3,1,2,Illinois
1/5/2021,12/26/2019,SO105,105,1202,2,1,3,Pennsylvania
1/6/2021,12/27/2019,SO106,106,1203,4,1,3,California
1/6/2021,12/27/2019,SO107,107,1204,5,1,3,Georgia
1/6/2021,12/27/2019,SO108,108,1205,3,1,9,Kentucky
1/6/2021,12/27/2019,SO109,109,1205,3,1,2,Kentucky
1/6/2021,12/27/2019,SO110,110,1205,3,1,2,Kentucky
1/6/2021,12/27/2019,SO111,111,1205,3,1,2,Kentucky
1/6/2021,12/27/2019,SO112,112,1205,3,1,4,Kentucky
1/6/2021,12/27/2019,SO113,113,1205,3,1,4,Kentucky
1/6/2021,12/27/2019,SO114,114,1205,3,1,1,Kentucky
1/7/2021,12/28/2019,SO115,115,1206,4,1,3,Texas
1/7/2021,12/28/2019,SO116,116,1206,4,1,7,Texas
1/9/2021,12/30/2019,SO117,117,1207,4,1,2,Texas
1/9/2021,12/30/2019,SO118,118,1207,4,1,3,Texas
1/10/2021,12/31/2019,SO119,119,1208,5,1,1,Virginia
1/10/2021,12/31/2019,SO120,120,1208,5,1,1,Virginia
1/11/2021,1/1/2020,SO121,121,1209,2,1,2,Delaware
1/13/2021,1/3/2020,SO122,122,1210,3,1,2,Louisiana
1/13/2021,1/3/2020,SO123,123,1210,3,1,3,Louisiana
1/13/2021,1/3/2020,SO124,124,1210,3,1,6,Louisiana
1/13/2021,1/3/2020,SO125,125,1210,3,1,3,Louisiana
1/13/2021,1/3/2020,SO126,126,1210,3,1,6,Louisiana
1/13/2021,1/3/2020,SO127,127,1211,5,1,6,South Carolina
1/13/2021,1/3/2020,SO128,128,1212,4,1,5,California
1/13/2021,1/3/2020,SO129,129,1212,4,1,3,California
1/13/2021,1/3/2020,SO130,130,1212,4,1,5,California
1/13/2021,1/3/2020,SO131,131,1213,3,1,7,Ohio
1/13/2021,1/3/2020,SO132,132,1213,3,1,2,Ohio
1/3/2021,12/24/2019,SO101,101,1200,4,1,2,Texas
1/4/2021,12/25/2019,SO102,102,1201,3,1,3,Illinois
1/4/2021,12/25/2019,SO103,103,1201,3,1,3,Illinois
1/4/2021,12/25/2019,SO104,104,1201,3,1,2,Illinois
1/5/2021,12/26/2019,SO105,105,1202,2,1,3,Pennsylvania
1/6/2021,12/27/2019,SO106,106,1203,4,1,3,California
1/6/2021,12/27/2019,SO107,107,1204,5,1,3,Georgia
1/6/2021,12/27/2019,SO108,108,1205,3,1,9,Kentucky
1/6/2021,12/27/2019,SO109,109,1205,3,1,2,Kentucky
1/6/2021,12/27/2019,SO110,110,1205,3,1,2,Kentucky
1/6/2021,12/27/2019,SO111,111,1205,3,1,2,Kentucky
1/6/2021,12/27/2019,SO112,112,1205,3,1,4,Kentucky
1/6/2021,12/27/2019,SO113,113,1205,3,1,4,Kentucky
1/6/2021,12/27/2019,SO114,114,1205,3,1,1,Kentucky
1/7/2021,12/28/2019,SO115,115,1206,4,1,3,Texas
1/7/2021,12/28/2019,SO116,116,1206,4,1,7,Texas
1/9/2021,12/30/2019,SO117,117,1207,4,1,2,Texas
1/9/2021,12/30/2019,SO118,118,1207,4,1,3,Texas
1/10/2021,12/31/2019,SO119,119,1208,5,1,1,Virginia
1/10/2021,12/31/2019,SO120,120,1208,5,1,1,Virginia
1/11/2021,1/1/2020,SO121,121,1209,2,1,2,Delaware
1/13/2021,1/3/2020,SO122,122,1210,3,1,2,Louisiana
1/13/2021,1/3/2020,SO123,123,1210,3,1,3,Louisiana
1/13/2021,1/3/2020,SO124,124,1210,3,1,6,Louisiana
1/13/2021,1/3/2020,SO125,125,1210,3,1,3,Louisiana
1/13/2021,1/3/2020,SO126,126,1210,3,1,6,Louisiana
1/13/2021,1/3/2020,SO127,127,1211,5,1,6,South Carolina
1/13/2021,1/3/2020,SO128,128,1212,4,1,5,California
1/13/2021,1/3/2020,SO129,129,1212,4,1,3,California
1/13/2021,1/3/2020,SO130,130,1212,4,1,5,California
1/13/2021,1/3/2020,SO131,131,1213,3,1,7,Ohio
1/13/2021,1/3/2020,SO132,132,1213,3,1,2,Ohio
1/26/2021,1/16/2020,SO165,163,1226,5,1,8,Virginia
1/26/2021,1/16/2020,SO166,164,1226,5,1,3,Virginia
1/26/2021,1/16/2020,SO167,165,1226,5,1,2,Virginia
1/26/2021,1/16/2020,SO168,166,1226,5,1,13,Virginia
1/26/2021,1/16/2020,SO169,167,1226,5,1,3,Virginia
1/26/2021,1/16/2020,SO170,168,1226,5,1,2,Virginia
1/26/2021,1/16/2020,SO171,169,1227,3,1,2,South Dakota
1/26/2021,1/16/2020,SO172,170,1227,3,1,2,South Dakota
1/27/2021,1/17/2020,SO173,171,1228,4,1,1,California
1/27/2021,1/17/2020,SO174,172,1228,4,1,3,California
1/27/2021,1/17/2020,SO175,173,1228,4,1,4,California
1/28/2021,1/18/2020,SO176,174,1229,2,1,1,New York
1/30/2021,1/20/2020,SO177,175,1230,3,1,2,Michigan
1/30/2021,1/20/2020,SO178,176,1230,3,1,2,Michigan
1/31/2021,1/21/2020,SO179,177,1231,4,1,2,California
2/1/2021,1/22/2020,SO180,178,1232,3,1,6,Wisconsin
2/2/2021,1/23/2020,SO181,179,1233,4,1,5,California
2/2/2021,1/23/2020,SO182,180,1234,5,1,2,Florida
2/2/2021,1/23/2020,SO183,181,1234,5,1,5,Florida
2/3/2021,1/24/2020,SO184,182,1223,2,1,2,Washington
2/3/2021,1/24/2020,SO185,183,1223,2,1,3,Washington
2/4/2021,1/25/2020,SO186,184,1235,4,1,3,California
2/4/2021,1/25/2020,SO187,185,1235,4,1,4,California
2/4/2021,1/25/2020,SO188,140,1236,4,1,2,California
2/6/2021,1/27/2020,SO189,186,1237,5,1,4,Virginia
2/6/2021,1/27/2020,SO190,187,1237,5,1,1,Virginia
2/6/2021,1/27/2020,SO191,188,1237,5,1,5,Virginia
2/6/2021,1/27/2020,SO192,189,1216,3,1,2,Illinois
2/7/2021,1/28/2020,SO193,190,1238,2,1,7,New Jersey
2/7/2021,1/28/2020,SO194,191,1210,2,1,4,New York
2/8/2021,1/29/2020,SO195,192,1239,2,1,2,Nevada
2/11/2021,2/1/2020,SO196,178,1211,5,1,3,Virginia
2/11/2021,2/1/2020,SO197,193,1211,5,1,6,Virginia
2/11/2021,2/1/2020,SO198,194,1211,5,1,2,Virginia
2/11/2021,2/1/2020,SO199,195,1241,3,1,1,Missouri
2/11/2021,2/1/2020,SO200,196,1241,3,1,3,Missouri
2/11/2021,2/1/2020,SO201,197,1241,3,1,2,Missouri
2/11/2021,2/1/2020,SO202,198,1241,3,1,3,Missouri
2/11/2021,2/1/2020,SO203,199,1241,3,1,3,Missouri
2/11/2021,2/1/2020,SO204,200,1241,3,1,2,Missouri
2/12/2021,2/2/2020,SO205,201,1242,4,1,2,California
2/14/2021,2/4/2020,SO206,202,1243,4,1,3,Texas
2/14/2021,2/4/2020,SO207,203,1244,2,1,3,Washington
2/14/2021,2/4/2020,SO208,204,1244,2,1,2,Washington
2/14/2021,2/4/2020,SO209,205,1244,2,1,2,Washington
2/15/2021,2/5/2020,SO210,206,1245,2,1,5,Washington
2/16/2021,2/6/2020,SO211,207,1213,4,1,3,Texas
2/16/2021,2/6/2020,SO212,208,1213,4,1,2,Texas
2/17/2021,2/7/2020,SO213,209,1216,3,1,14,Illinois
2/18/2021,2/8/2020,SO214,210,1247,4,1,5,Texas
2/18/2021,2/8/2020,SO215,211,1248,4,1,2,Texas
2/20/2021,2/10/2020,SO216,212,1249,3,1,3,Indiana
2/20/2021,2/10/2020,SO217,213,1249,3,1,4,Indiana
2/20/2021,2/10/2020,SO218,214,1250,4,1,2,California
2/21/2021,2/11/2020,SO219,104,1251,3,1,5,Illinois
2/22/2021,2/12/2020,SO220,215,1252,4,1,3,California
2/23/2021,2/13/2020,SO221,216,1213,4,1,3,Texas
2/23/2021,2/13/2020,SO222,217,1213,4,1,3,Texas
2/24/2021,2/14/2020,SO223,101,1254,1,1,4,Oregon
2/24/2021,2/14/2020,SO224,218,1254,1,1,3,Oregon
2/27/2021,2/17/2020,SO225,219,1255,3,1,4,Ohio
3/1/2021,2/20/2020,SO226,108,1256,2,1,2,Washington
3/1/2021,2/20/2020,SO227,220,1257,2,1,3,New York
3/1/2021,2/20/2020,SO228,221,1258,3,1,6,Illinois
